Name,Selling_Price,Original_Price,Display,Size,Screen_resolution,OS,Launch_Year,Ratings
Acer,17499.0,29999.0,Full Hd Led,40,1080x1920,Google,2023,4.3
Sony,40990.0,59900.0,Ultra Hd (4K),43,3840x2160,Google,2024,4.7
Thomson,21999.0,31999.0,Qled Ultra Hd (4K),43,3840x2160,Google,2023,4.5
Mi,36999.0,54999.0,Ultra Hd (4K),55,3840x2160,Google,2023,4.3
Motorola,32999.0,119980.0,Qled Ultra Hd (4K),55,3840x2160,Google,2023,4.3
Vu,36499.0,65000.0,Ultra Hd (4K),55,3840x2160,Google,2022,4.4
Mi,22999.0,35999.0,Full Hd Led,43,1080x1920,Google,2024,4.3
Coocaa,14499.0,29990.0,Full Hd Led,43,1080x1920,Coolita,2024,4.2
Thomson,30999.0,59999.0,Qled Ultra Hd (4K),55,3840x2160,Google,2022,4.5
Mi,32990.0,44999.0,Ultra Hd (4K),50,3840x2160,Google,2023,4.3
Mi,18999.0,29999.0,Full Hd Led,40,1080x1920,Google,2023,4.3
Acer,29999.0,59999.0,Ultra Hd (4K),55,3840x2160,Google,2023,4.3
Blaupunkt,33268.0,59999.0,Qled Ultra Hd (4K),55,3840x2160,Google,2022,4.5
Samsung,29490.0,44900.0,Ultra Hd (4K),43,3840x2160,Tizen,2024,4.3
Toshiba,19999.0,34990.0,Full Hd Led,43,1080x1920,Android,2023,4.2
Iffalcon,14999.0,38990.0,Full Hd Led,40,1080x1920,Android,2023,4.2
Iffalcon,26999.0,73990.0,Ultra Hd (4K),55,3840x2160,Google,2022,4.2
Thomson,15999.0,29999.0,Full Hd Led,43,1080x1920,Android,2021,4.3
Lg,30990.0,49990.0,Ultra Hd (4K),43,3840x2160,Webos,2023,4.4
Tcl,23990.0,52990.0,Ultra Hd (4K),43,3840x2160,Google,2024,4.1
Iffalcon,18999.0,49990.0,Ultra Hd (4K),43,3840x2160,Google,2022,4.2
Tcl,40990.0,120990.0,Qled Ultra Hd (4K),55,3840x2160,Google,2024,4.2
Kodak,14999.0,22999.0,Full Hd Led,43,1080x1920,Linux,2024,4.3
Samsung,30990.0,46900.0,Ultra Hd (4K),43,3840x2160,Tizen,2024,4.3
Iffalcon,33999.0,119900.0,Qled Ultra Hd (4K),55,3840x2160,Google,2023,4.2
Thomson,15499.0,28499.0,Full Hd Led,42,1080x1920,Android,2023,4.3
Mi,22999.0,35999.0,Full Hd Led,43,1080x1920,Google,2023,4.3
