Product_Name,Selling_Price,Original_Price,Specs,Ratings
"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV with 1.5GB RAM, 16GB Storage, 30W ...","₹17,499","₹29,999",Operating System: Google TVFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase,4.3
SONY Bravia 2 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition,"₹40,990","₹59,900",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Warranty,4.7
Thomson Phoenix 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & Atmos,"₹21,999","₹31,999",Operating System: Google TVUltra HD (4K) 3840 × 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.5
Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision | HDR 10 | Dolby A...,"₹36,999","₹54,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
MOTOROLA EnvisionX 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision and Dolby Atm...,"₹32,999","₹1,19,980",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
Vu GloLED 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,"₹36,499","₹65,000",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Domestic Warranty on the Product,4.4
Mi A Series 108 cm (43 inch) Full HD LED Smart Google TV 2024 Edition,"₹22,999","₹35,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20241 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase,4.3
Coocaa 108 cm (43 inch) Full HD LED Smart Coolita TV 2024 Edition with Dolby Audio and Eye Care Techno...,"₹14,499","₹29,990",Operating System: CoolitaFull HD 1920 × 1080 PixelsLaunch Year: 20241 Year Warranty on Product,4.2
Thomson 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos,"₹30,999","₹59,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty on Product and 6 Months Warranty on Accessories,4.5
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision | HDR 10 | Dolby A...,"₹32,990","₹44,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
Mi A series 100 cm (40 inch) Full HD LED Smart Google TV with FHD | Dolby Audio | DTS : HD | DTS Virtu...,"₹18,999","₹29,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
"Acer Advanced I Series 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision-Atmos, 36W...","₹29,999","₹59,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase,4.3
Blaupunkt 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,"₹33,268","₹59,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty on Product and 6 Months on Accessories,4.5
SAMSUNG New D Series Brighter Crystal Vivid (2024 Edition) 108 cm (43 inch) Ultra HD (4K) LED Smart Ti...,"₹29,490","₹44,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
TOSHIBA 108 cm (43 inch) Full HD LED Smart Android TV with DTS X,"₹19,999","₹34,990",Operating System: AndroidFull HD 1920 x 1080 PixelsLaunch Year: 20232 Years Warranty on Product and Panel,4.2
iFFALCON by TCL S53 101 cm (40 inch) Full HD LED Smart Android TV with Bezel-Less design & 24W Speaker,"₹14,999","₹38,990",Operating System: AndroidFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty,4.2
"iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","₹26,999","₹73,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty,4.2
Thomson 9A Series 108 cm (43 inch) Full HD LED Smart Android TV with Bezel Less Display,"₹15,999","₹29,999",Operating System: AndroidFull HD 1920 x 1080 PixelsLaunch Year: 20211 Year Warranty on Product & 6 Months on Accessories,4.3
"LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha75 Gen6 AI Processor, AI Picture...","₹30,990","₹49,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable,4.4
TCL 107.95 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with with 24W Dolby Audio and M...,"₹23,990","₹52,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Warranty on Product,4.1
"iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","₹18,999","₹49,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty,4.2
"TCL 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Atmos 35W, ONKYO 2.1ch with Subwoof...","₹40,990","₹1,20,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Comprehensive Warranty on Product,4.2
KODAK 108 cm (43 inch) Full HD LED Smart Linux TV 2024 Edition with 30W Sound Output & Bezel-Less Desi...,"₹14,999","₹22,999",Operating System: LinuxFull HD 1920 x 1080 PixelsLaunch Year: 20241 Year Warranty on Product and 6 Months Warranty on Accessories,4.3
SAMSUNG New D Series Brighter Crystal Vision Pro (2024 Edition) 108 cm (43 inch) Ultra HD (4K) LED Sma...,"₹30,990","₹46,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
SAMSUNG New D Series Brighter Crystal Vision Pro (2024 Edition) 108 cm (43 inch) Ultra HD (4K) LED Sma...,"₹30,990","₹46,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
iFFALCON by TCL 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos Vision & HDR10,"₹33,999","₹1,19,900",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.2
Thomson FA Series 106 cm (42 inch) Full HD LED Smart Android TV with Dolby Digital Plus & Android 11,"₹15,499","₹28,499",Operating System: AndroidFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.3
Mi A series 108 cm (43 inch) Full HD LED Smart Google TV with FHD | Dolby Audio | DTS : HD | DTS Virtu...,"₹22,999","₹35,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
Vu GloLED 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 84W,"₹26,499","₹40,000",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Domestic Warranty from Vu,4.4
Thomson FA Series 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Digital Plus & Android 11,"₹16,999","₹29,999",Operating System: AndroidFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Warranty on Product and 6 Months Warranty on Accessories,4.3
SAMSUNG New D Series Brighter Crystal Vivid (2024 Edition) 108 cm (43 inch) Ultra HD (4K) LED Smart Ti...,"₹29,490","₹44,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
Mi X Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision IQ | HDR10+ | Dolby A...,"₹47,999","₹69,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
"LG UR7500 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha75 Gen6 AI Processor, AI Picture...","₹43,990","₹71,990",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable,4.4
TCL 138.71 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with with 24W Dolby Audio and M...,"₹34,990","₹77,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Warranty on Product,4.1
Coocaa 138 cm (55 inch) Ultra HD (4K) LED Smart Coolita TV 2024 Edition with Dolby Audio and Eye Care ...,"₹24,999","₹59,990",Operating System: CoolitaUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20241 Year Comprehensive Warranty On Product,4.2
TCL 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV with 30W Dolby Atmos,"₹27,990","₹60,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Years Comprehensive Warranty on Product,4.2
Mi A Series 108 cm (43 inch) Full HD LED Smart Google TV 2024 Edition,"₹22,999","₹35,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20241 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase,4.3
SAMSUNG New D Series Brighter Crystal Vision Pro (2024 Edition) 138 cm (55 inch) Ultra HD (4K) LED Sma...,"₹44,990","₹66,900",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20242 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),4.3
